,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
58,58,58,2023-05-03 10:00:00,28665.37000000,28678.23000000,28557.16000000,28573.49,1510.2601,28594.489342526103,28535.427937592332,28513.62062060217,28677.751455305628,28899.590918359267,43153401.864749,28556.9097655137,28317.3768366539,28563.9199746232,28576.5689445627,28887.179385329393,28233.99874696372,
59,59,59,2023-05-03 11:00:00,28573.49000000,28646.43000000,28526.18000000,28543.74,1510.8684,28585.262189339537,28536.219562583537,28514.80177273542,28675.097763121357,28896.050113201465,43125834.783816,28597.1737171701,28318.0236564951,28563.9199746232,28576.5689445627,28894.07577225729,28240.895133891616,
60,60,60,2023-05-03 12:00:00,28543.73000000,28583.33000000,28207.61000000,28306.53,4857.55836,28534.58360945962,28514.344366147012,28506.634252235996,28667.7993915744,28890.18424142832,137500621.44409078,28570.9595977242,28315.4570464848,28563.9199746232,28576.5689445627,28903.318630397083,28250.13799203141,
61,61,61,2023-05-03 13:00:00,28306.53000000,28400.00000000,28128.31000000,28373.55,4086.10572,28505.304771376053,28500.935378894916,28501.415261952232,28661.972670949162,28885.043602210128,115937324.95170599,28557.442376915,28315.4945160119,28563.9199746232,28576.5689445627,28915.17918612866,28261.998547762985,
62,62,62,2023-05-03 14:00:00,28373.55000000,28384.69000000,28113.69000000,28215.86,2876.4678,28452.678449307678,28473.785342809686,28490.21701638548,28653.138756672943,28878.385058904558,81162012.739308,28532.6142443123,28309.1962819133,28563.9199746232,28576.5689445627,28929.82879815153,28276.64815978586,buy
63,63,63,2023-05-03 15:00:00,28215.86000000,28347.29000000,28152.46000000,28311.51,1861.78483,28427.01145852446,28458.33054825638,28483.208898095854,28646.373830798228,28872.744511054763,52709939.832393296,28510.101807809,28307.4347425399,28563.9199746232,28576.5689445627,28947.324975112042,28294.14433674637,
64,64,64,2023-05-03 16:00:00,28311.52000000,28488.00000000,28247.41000000,28476.96,2382.78705,28436.09301152001,28460.104781755774,28482.963843268564,28643.01910147549,28868.80635671591,67854531.51136799,28492.9675303495,28306.7799848057,28563.9199746232,28576.5689445627,28967.60200136743,28314.42136300176,
65,65,65,2023-05-03 17:00:00,28476.96000000,28780.00000000,28380.00000000,28576.7,4679.85417,28461.657918516372,28471.209088255222,28486.639770983522,28641.705851941322,28865.899825803317,133734788.65983899,28494.2976488048,28325.6709904589,28563.9199746232,28576.5689445627,28990.467471670865,28337.286833305192,
66,66,66,2023-05-03 18:00:00,28576.70000000,28800.00000000,28218.65000000,28444.29,8652.90108,28458.500115149756,28468.645365564247,28484.978995650836,28637.796627150405,28861.70470315851,246125627.6608332,28482.9030226843,28333.3195589704,28563.9199746232,28576.5689445627,29015.605638961435,28362.425000595762,
67,67,67,2023-05-03 19:00:00,28444.29000000,28507.82000000,28211.08000000,28322.98,3400.7739,28433.860094213436,28454.772473605746,28478.626093860606,28631.562634533562,28856.344258350964,96320051.154222,28462.5173861087,28333.9494353982,28563.9199746232,28576.5689445627,29042.58794126477,28389.407302899097,buy
